NAME,ADDRESS,AGE,SUB_MONTHS,MONTHLY_PAYMENT,USAGE_FEQ,STFT,CHURN
Brandon Mccall,USNS James_FPO AA 14813,47,36,58.19,13,3,False
Jessica Rodriguez,724 Wood Trace_West Marissaport  AR 37172,25,48,15.14,14,4,False
Samantha Bell,51765 Bobby Estate Suite 395_North Brandon  NJ 55173,24,58,44.98,23,3,False
Caitlin Murphy,925 Vaughn Mills Apt. 886_West Brett  TN 68899,59,97,70.06,7,3,False
Anne Spencer,02298 Helen Courts_Johnborough  TX 34032,36,41,40.64,28,3,False
Katrina Roman DDS,805 Little Port Apt. 588_Port Mario  UT 37873,53,76,32.68,5,2,False
Jorge Wallace,USNV Joyce_FPO AE 95352,19,89,69.14,6,5,True
Nancy Collins,6966 Emily Plaza Apt. 564_Ashleyberg  MD 83135,41,100,13.37,9,4,True
Robert Pena,9741 Jason Unions_Micheleton  PA 00694,57,91,46.16,17,4,True
Linda Merritt,455 Joseph Cliffs_Grossburgh  SC 84192,56,40,56.45,15,2,True
Brandy Wilson,0817 Sparks Run_Jenniferfort  AZ 54340,31,55,62.45,22,1,False
Lauren Gaines,390 Russo Ranch Apt. 972_Moniquebury  NJ 39257,60,16,65.28,2,3,False
Amanda Sanders,270 Dorsey Flats_Lake Michael  SC 44791,50,54,69.05,9,2,True
Maria Noble,08635 Jermaine Plaza_South Daleland  IL 86431,47,78,24.17,4,3,False
Ashley Miller,9561 Wheeler Branch_Griffinside  VA 49662,32,106,92.1,23,3,False
Nicholas Blake,16118 Allison Spring_North Keith  CT 10065,28,24,84.82,19,3,False
Margaret Miller,2322 Dawn Glen Apt. 426_Jeremyborough  KS 01837,50,48,72.88,22,4,False
Kevin Wilcox,0650 Dylan Freeway_Stephaniestad  TX 11437,28,41,69.53,29,2,False
Robert Burke,843 Branch Fall Suite 111_Graybury  MH 90499,50,65,59.59,2,4,False
William Marshall,1704 Brenda Inlet Apt. 964_New Pamelaview  AZ 12670,60,85,92.38,8,1,False
Diana Wagner,9913 Allen Key_North Eric  AK 70138,27,100,12.01,3,2,False
Melissa Walter,0056 Louis Pike Apt. 790_Erikaland  NE 85598,23,100,53.02,23,5,True
Rachel Conley,548 Pamela Drive_Burnschester  IL 77307,25,92,20.35,3,1,True
Alan Ewing,42501 Bryce Spurs_South Michaelport  IL 06806,45,56,81.27,15,5,True
Nicole Phillips,95150 Peterson Glen_Victorshire  PA 12406,56,9,28.61,9,2,False
Tanya Hines,6691 King Unions Apt. 337_Justinfurt  NH 98415,25,44,70.47,11,3,False
Clinton Martinez,04796 John Ferry_Donnaview  MI 79531,47,28,95.12,9,3,False
Robert Graham,PSC 7698  Box 0691_APO AE 92821,42,90,29.68,8,1,True
Bridget Mason,7268 Rios Avenue Apt. 872_Davidbury  OH 02025,41,73,36.39,18,3,False
April Willis,241 Jeffrey Springs Apt. 786_West Mark  UT 75775,28,120,95.26,25,4,True
Brittney Austin,9097 Christine Canyon_Amyberg  ND 93889,56,118,15.61,6,3,True
Robert Horton,8108 Gregory Mill Apt. 619_Port Ruben  AL 85310,29,42,49.01,6,1,False
Donald Underwood,5369 Linda Skyway_Ballardton  CO 28230,23,51,14.12,5,5,False
Aaron Webb,1774 Rodriguez Underpass Apt. 855_North Valerie  GA 83440,37,28,75.97,28,2,False
Caroline Elliott,4583 Jenna Turnpike Apt. 367_South Thomasville  CO 63723,56,113,90.33,25,3,False
Micheal Long,166 Jesse Hill_West Michael  AZ 96877,40,30,63.57,24,5,True
Michael Armstrong,36936 Martin Parkways Suite 296_North Kennethchester  ID 60405,38,103,18.52,15,4,True
Rachel Young,328 Williams Camp Apt. 444_Georgeton  RI 88206,26,63,67.86,25,4,True
Timothy Ross,64736 Daniel Hills Suite 548_Sullivanberg  KS 34211,39,43,53.21,17,5,False
Kelly Rodriguez,122 Smith Park Apt. 408_Hansonstad  WA 56955,56,47,94.31,7,1,False
Angela Atkins,53333 Angela Garden_New Brittanyhaven  NE 61942,34,17,27.64,30,1,False
Ricky Alexander,Unit 1642 Box 3983_DPO AP 69544,30,101,31.61,17,3,False
Elizabeth Soto,5131 Brown Summit Suite 393_Francisshire  OR 00540,44,31,13.02,3,2,False
John Knox,88001 Peterson Brook_Anthonyport  CO 94804,28,61,96.05,13,5,True
Steven Roberson,19445 Thompson Highway_Thomasfurt  LA 80023,42,92,96.87,29,1,False
Jeremiah Sullivan,6985 Mary Estate_North Janice  SC 85770,40,36,72.27,7,3,True
Jason Rangel,106 Stone Spurs_Monicahaven  MA 83005,54,10,17.25,8,2,False
Derek Thompson,992 Judith Squares_Robertville  IL 41840,26,40,47.49,1,5,False
Rachel Ryan,9108 Chris Summit_Tylerburgh  DE 08864,23,37,67.17,19,5,False
Robert Hickman,7247 Mcdonald Landing_Singhchester  GA 96056,37,33,28.07,7,4,True
Breanna Lopez,8253 Lisa Trafficway Suite 616_Schwartzchester  WI 62672,56,14,48.07,1,4,True
Jennifer Payne,2768 Rich Mission Apt. 508_Port Allen  TN 32474,58,115,17.81,15,1,True
Tiffany Lyons,93593 Audrey Shore Suite 311_Lopezside  TN 54367,31,91,65.44,11,3,False
Mindy Dillon,8270 Erin Pines_Jeremyhaven  RI 45228,38,66,38.99,9,3,True
Megan Morris,7979 Emily Ways_Port Michele  AZ 77268,22,76,38.81,17,3,True
Tamara Campbell,PSC 2556  Box 2635_APO AA 91032,40,31,41.34,4,1,True
Jessica Gutierrez,234 Brent Plaza Suite 356_Tylerberg  OR 31767,58,59,71.95,3,3,True
Ellen Rogers,6064 Heather Common Apt. 879_Lake James  CO 10547,58,46,30.19,5,3,False
Michelle Rogers,39820 Lucas Flat_Kevintown  WY 48473,23,68,25.4,21,2,False
Gabriela Fowler,032 Amanda Mount_Travishaven  KS 29206,41,99,34.79,11,4,True
John Hale,42315 Sharon Drive Suite 445_Jenniferborough  AS 81814,27,95,70.41,24,3,False
Felicia Williams,76377 Melanie Camp Apt. 825_New Shawnhaven  AR 34395,45,119,64.42,23,4,False
Tabitha Torres,177 Anderson Bridge Suite 725_Woodshire  NJ 97205,48,63,65.36,10,3,False
Michael Gregory,27758 Sanchez Groves Suite 652_West Lisafort  MN 62918,21,86,28.64,29,5,True
Gerald Goodman,25376 Barker Shores_Port Jessica  TX 17616,52,88,19.51,27,1,False
Sean Barrett,5104 Swanson Point Apt. 485_North Megan  MI 94755,46,107,47.07,27,2,False
Debra Cross,560 Shaffer Station Suite 712_New Wyattton  GU 49287,35,59,88.8,19,3,True
William Williams,3378 Michael Valley Apt. 943_Jonesburgh  SD 22137,58,26,72.4,23,2,False
Jessica Lowe,26116 Jennifer Inlet_Port Edwardchester  MN 40631,33,11,84.71,21,3,False
Summer Garcia,06820 West Land_New Sandrashire  IL 60585,58,42,13.91,29,4,False
Mr. Paul Curtis PhD,5740 Caldwell Centers Apt. 769_South Diane  DC 24206,22,40,31.9,2,1,True
Heather Wilson,Unit 8018 Box 9496_DPO AP 90982,50,107,32.87,10,3,False
Carrie Johnson,400 Li Lights Apt. 362_Rodgersfurt  KY 63242,44,53,88.89,14,5,False
Charles Brown,30539 Ellis Plaza Suite 772_Michaelburgh  NV 53883,46,63,78.51,6,4,False
Carlos Russell,9610 Ray Rapid Suite 271_North Sharonmouth  IL 87985,20,110,89.3,27,1,True
Jonathan Clark PhD,567 Brian Alley_Lauraborough  PW 31760,46,98,70.73,18,1,False
Joshua Bell,04098 Joshua Fork Apt. 638_Michaelton  NM 13335,41,5,56.02,9,2,False
Bruce Day,PSC 5220  Box 1825_APO AE 04150,37,14,52.81,25,2,False
Michael Rosario,3360 Andrew Hollow Suite 600_New Samantha  NC 62959,37,84,45.07,29,3,True
Mary Huff,33808 Matthew Glens Apt. 808_Vazquezchester  MH 95827,26,48,43.17,4,5,False
Cameron West,4916 Hines Vista Suite 486_Port Diana  GU 43408,43,26,70.49,18,2,True
Dale Berry,3354 Kelsey Shoal Apt. 020_Watersmouth  KY 49187,27,37,90.33,30,4,True
Joel Jacobs,2077 Turner Trail_South Christopher  NY 83599,38,34,89.09,25,4,False
Jeffrey Soto,Unit 2990 Box 4719_DPO AE 91755,59,55,81.55,6,4,True
Melissa Smith,Unit 0599 Box 6861_DPO AA 57838,46,34,78.17,8,3,False
Stephanie Obrien,PSC 7075  Box 4667_APO AP 02587,55,91,82.09,3,3,False
Brett Pham,6396 Christina Course Suite 011_Mclaughlinland  DE 68022,24,77,40.76,27,1,False
Jonathan Andrews,6995 Gloria Key Apt. 284_Port Jamesmouth  DE 66752,32,48,81.39,3,1,True
Dave Gordon,USNS Woods_FPO AA 99121,47,88,79.89,22,2,False
Nancy Ortiz,4195 Joshua Branch_New Patricia  PW 16854,50,65,31.16,7,5,True
Diana Harris,4742 Cisneros Roads_New Marissa  SC 39205,44,31,23.48,26,1,True
Monique Hill,7639 Rickey Hollow Suite 674_Marthaville  WI 83727,36,3,16.21,6,2,False
Jacob Smith,2988 Michelle Passage_Robertbury  OH 81235,23,30,79.93,16,4,True
Richard Barker,Unit 7056 Box 3150_DPO AE 72698,56,73,73.23,15,4,False
Mr. Thomas Gay,PSC 6722  Box 7399_APO AP 70315,23,35,43.86,16,4,True
Jonathan Stevens,589 Jacob Plains_Davisville  NY 40329,39,2,72.53,6,3,False
Danielle Cain,Unit 4002 Box 1279_DPO AE 04293,50,73,39.83,2,1,False
William Mendez,204 Adams Drive Apt. 553_East Nathan  WA 21039,56,119,98.59,9,5,True
Jose Brown,065 Arnold Bypass_Lake Tony  MT 66360,55,22,82.3,1,3,False
Jacqueline Patrick,Unit 0423 Box 1307_DPO AA 02185,31,69,53.62,23,2,False
